Name on List,Name,Gender,Solo/Group,Group,Company,Parent Brand,Main Brand,Title,Notes,Date announced,Region
TWICE Sana,Sana,F,Solo,Twice,JYP,Prada,Prada Fine Jewelry Campaign,Campaign,,25-Nov-22,South Korea
TWICE Nayeon,Nayeon,F,Solo,Twice,JYP,Chaumet,Joséphine Collection,Friend of the Maison,,8-Dec-22,
NewJeans Hyein,Hyein,F,Solo,NewJeans,HYBE,Louis Vuitton,,Brand Ambassador,,30-Dec-22,South Korea
NewJeans Danielle,Danielle,F,Solo,NewJeans,HYBE,Burberry,,Global Ambassador,,5-Jan-23,Global
ASTRO Cha Eun Woo,Cha Eunwoo,M,Solo,Astro,Fantagio,Sketchers,,Regional Ambassador,,11-Jan-23,Asia Pacific
NCT Jaehyun,Jaehyun,M,Solo,NCT,SM,Prada,,Global Ambassador,,11-Jan-23,Global
BTS Suga,Suga,M,Solo,BTS,HYBE,Valentino,,Brand Ambassador,,12-Jan-23,Global
f(x) Krystal,Krystal Jung,F,Solo,f(x),H&,Pomellato,,Brand Ambassador,,12-Jan-23,South Korea
ASTRO Cha Eun Woo,Cha Eunwoo,M,Solo,Astro,Fantagio,Dior,Dior Beauty,Global Ambassador,Capture Totale Serum,17-Jan-23,Global
BTS Jimin,Jimin,M,Solo,BTS,HYBE,Dior,,Global Ambassador,,17-Jan-23,Global
IVE An Yu Jin,An Yujin,F,Solo,IVE,Starship,Fendi,,Brand Ambassador,,18-Jan-23,South Korea
BIGBANG Taeyang,Taeyang,M,Solo,BIGBANG,The Black Label,Givenchy,,Global Ambassador,,19-Jan-23,Global
GOT7 Jackson,Jackson Wang,M,Solo,GOT7,Team Wang,Louis Vuitton,,Global Ambassador,,24-Jan-23,Global
TWICE Nayeon,Nayeon,F,Solo,Twice,JYP,Givenchy,Givenchy Beauty,Muse,Beauty,29-Jan-23,
ASTRO Cha Eun Woo,Cha Eunwoo,M,Solo,Astro,Fantagio,Giordano,,Endorsment Model,,1-Feb-23,South Korea
Kim Sejong,Kim Sejong,F,Solo,Soloist,Jellyfish,Longchamp,,Brand Ambassador,,6-Feb-23,Asia
NewJeans Hanni,Hanni,F,Solo,NewJeans,HYBE,Armani,Armani Beauty,Global Ambassador,,9-Feb-23,Global
Aespa,,F,Group,Aespa,SM,Chopard,,Global Ambassador,,10-Feb-23,Global
NewJeans Minji,Minji,F,Solo,NewJeans,HYBE,Chanel,,Brand Ambassador,,14-Feb-23,South Korea
ITZY,,F,Group,ITZY,JYP,Casio,,Global Ambassador,G-SHOCK,21-Feb-23,Global
BTS J-Hope,J-Hope,M,Solo,BTS,HYBE,Louis Vuitton,,Global Ambassador,,24-Feb-23,Global
NewJeans Hanni,Hanni,F,Solo,NewJeans,HYBE,Gucci,,Global Ambassador,,24-Feb-23,Global
BTS Jimin,Jimin,M,Solo,BTS,HYBE,Tiffany and Co.,,Global Ambassador,,2-Mar-23,Global
NewJeans,,F,Group,NewJeans,HYBE,Levi's,,Global Ambassador,,5-Mar-23,Global
TWICE Sana,Sana,F,Solo,Twice,JYP,Amore Pacific,eSpoir,Brand Ambassador,,6-Mar-23,South Korea
LE SSERAFIM Kazuha,Kazuha,F,Solo,Le Sserafim,HYBE,Calvin Klein,,Endorsement Model,,8-Mar-23,South Korea
NewJeans Danielle,Danielle,F,Solo,NewJeans,HYBE,Yves Saint Laurent,,Brand Ambassador,"Jewelry, Fashion, Beauty",13-Mar-23,South Korea
BTS V,V,M,Solo,BTS,HYBE,Celine,,Brand Ambassador,,15-Mar-23,Global
TWICE Sana,Sana,F,Solo,Twice,JYP,Yves Saint Laurent,YSL Beauty,Muse,,24-Mar-23,Japan
BTS Jungkook,Jungkook,M,Solo,BTS,HYBE,Calvin Klein,,Global Ambassador,,27-Mar-23,Global
BTS RM,RM,M,Solo,BTS,HYBE,Bottega Veneta,,Brand Ambassador,,30-Mar-23,Global
NewJeans Haerin,Haerin,F,Solo,NewJeans,HYBE,Dior,,Global Ambassador,Jewelry,26-Apr-23,Global
TWICE Nayeon,Nayeon,F,Solo,Twice,JYP,Tommy Hilfiger,Tommy Jeans,Brand Ambassador,,29-Apr-23,Japan
Girls’ Generation Taeyeon,Taeyeon,F,Solo,Girls' Generation,SM,Louis Vuitton,,Global Ambassador,,3-May-23,Global
BLACKPINK Jennie,Jennie,F,Solo,Blackpink,YG,Calvin Klein,,Brand Ambassador,Jennie for Cavin Klein Collection,4-May-23,Global
NCT Doyoung,Doyoung,M,Solo,NCT,SM,Dolce & Gabbana,,Brand Ambassador,,10-May-23,"South Korea, Japan"
Jeon Somi,Jeon Somi,F,Solo,Soloist,The Black Label,The North Face,,Brand Ambassador,,22-May-23,South Korea
NCT Jeno,Jeno,M,Solo,NCT,SM,Ferragamo,,Global Ambassador,,29-May-23,Global
Enhyphen,,M,Group,Enhyphen,HYBE,Prada,,Brand Ambassador,,9-Jun-23,South Korea
TWICE Momo,Momo,F,Solo,Twice,JYP,Miu Miu,,Brand Ambassador,,11-Jun-23,Japan
NCT Taeyong,Taeyong,M,Solo,NCT,SM,Loewe,,Global Ambassador,,20-Jun-23,Global
SEVENTEEN Vernon,Vernon,M,Solo,Seventeen,HYBE,Kenzo,,Global Ambassador,,22-Jun-23,Global
IVE,,F,Group,IVE,Starship,Puma,,Endorsement Model,,29-Jun-23,Asia-Pacific
Red Velvet Joy,Joy,F,Solo,Red Velvet,SM,Fresh Beauty,,Global Ambassador,,3-Jul-23,Global
Girls’ Generation YoonA,Yoona,F,Solo,Girls' Generation,SM,Qeelin,,Brand Ambassador,,6-Jul-23,South Korea
TWICE Sana,Sana,F,Solo,Twice,JYP,Graff,,Brand Ambassador,,9-Jul-23,Japan
BTS V,V,M,Solo,BTS,HYBE,Cartier,,Global Ambassador,,19-Jul-23,Global
Stray Kids Hyunjin,Hyunjin,M,Solo,Stray Kids,JYP,Versace,,Global Ambassador,,20-Jul-23,Global
TWICE Dahyun,Dahyun,F,Solo,Twice,JYP,Michael Kors,,Global Ambassador,,25-Jul-23,Global
(G)I-dle Miyeon,Miyeon,F,Solo,GIDLE,CUBE,Jimmy Choo,,Global Ambassador,,1-Aug-23,Global
(G)I-dle Minnie,Minnie,F,Solo,GIDLE,CUBE,Miu Miu,,House Ambassador,,8-Aug-23,
TXT,,M,Group,TXT,HYBE,Dior,,Brand Ambassador,,10-Aug-23,South Korea
